DATE,MANDAY_HT,MANHOUR_HT,MANDAY_MT,MANHOUR_MT,BDPOCDISCIPLINE
4/21/2022,5,50,1,10,MECH
4/21/2022,14,140,2,20,PROD
4/21/2022,2,20,0,0,RES
4/22/2022,4,40,1,10,DECK
4/22/2022,7,70,1,10,E&I
4/22/2022,5,50,1,10,MECH
4/22/2022,14,140,2,20,PROD
4/22/2022,2,20,0,0,RES
4/23/2022,4,40,1,10,DECK
4/23/2022,7,70,1,10,E&I
4/23/2022,5,50,1,10,MECH
4/23/2022,14,140,2,20,PROD
4/23/2022,2,20,0,0,RES
4/24/2022,4,40,1,10,DECK
4/24/2022,7,70,1,10,E&I
4/24/2022,5,50,1,10,MECH
4/24/2022,14,140,2,20,PROD
4/24/2022,2,20,0,0,RES
4/25/2022,4,40,1,10,DECK
4/25/2022,7,70,1,10,E&I
4/25/2022,5,50,1,10,MECH
4/25/2022,14,140,2,20,PROD
4/25/2022,2,20,0,0,RES
4/26/2022,4,40,1,10,DECK
4/26/2022,7,70,1,10,E&I
4/26/2022,5,50,1,10,MECH
4/26/2022,14,140,2,20,PROD
4/26/2022,2,20,0,0,RES
4/27/2022,4,40,1,10,DECK
4/27/2022,7,70,1,10,E&I
4/27/2022,5,50,1,10,MECH
4/27/2022,14,140,2,20,PROD
4/27/2022,2,20,0,0,RES
4/28/2022,4,40,1,10,DECK
4/28/2022,10,100,1,10,E&I
4/28/2022,5,50,1,10,MECH
4/28/2022,13,130,2,20,PROD
4/28/2022,2,20,0,0,RES
4/29/2022,4,40,1,10,DECK
4/29/2022,10,100,1,10,E&I
4/29/2022,5,50,1,10,MECH
4/29/2022,13,130,2,20,PROD
4/29/2022,2,20,0,0,RES
4/30/2022,4,40,1,10,DECK
4/30/2022,10,100,1,10,E&I
4/30/2022,5,50,1,10,MECH
4/30/2022,13,130,2,20,PROD
4/30/2022,2,20,0,0,RES
5/1/2022,4,40,1,10,DECK
5/1/2022,10,100,1,10,E&I
5/1/2022,5,50,1,10,MECH
5/1/2022,13,130,2,20,PROD
5/1/2022,2,20,0,0,RES
5/2/2022,4,40,1,10,DECK
5/2/2022,10,100,1,10,E&I
5/2/2022,5,50,1,10,MECH
5/2/2022,13,130,2,20,PROD
5/2/2022,2,20,0,0,RES
5/3/2022,4,40,1,10,DECK
5/3/2022,10,100,1,10,E&I
5/3/2022,5,50,1,10,MECH
5/3/2022,13,130,2,20,PROD
5/3/2022,2,20,0,0,RES
5/4/2022,4,40,1,10,DECK
5/4/2022,10,100,1,10,E&I
5/4/2022,5,50,1,10,MECH
5/4/2022,13,130,2,20,PROD
5/4/2022,2,20,0,0,RES
5/5/2022,4,40,1,10,DECK
5/5/2022,8,80,1,10,E&I
5/5/2022,5,50,1,10,MECH
5/5/2022,14,140,2,20,PROD
5/5/2022,2,20,0,0,RES
5/6/2022,4,40,1,10,DECK
5/6/2022,8,80,1,10,E&I
5/6/2022,5,50,1,10,MECH
5/6/2022,14,140,2,20,PROD
5/6/2022,2,20,0,0,RES
5/7/2022,4,40,1,10,DECK
5/7/2022,8,80,1,10,E&I
5/7/2022,5,50,1,10,MECH
5/7/2022,14,140,2,20,PROD
5/7/2022,2,20,0,0,RES
5/8/2022,4,40,1,10,DECK
5/8/2022,8,80,1,10,E&I
5/8/2022,5,50,1,10,MECH
5/8/2022,14,140,2,20,PROD
5/8/2022,2,20,0,0,RES
5/9/2022,4,40,1,10,DECK
5/9/2022,8,80,1,10,E&I
5/9/2022,5,50,1,10,MECH
5/9/2022,14,140,2,20,PROD
5/9/2022,2,20,0,0,RES
5/10/2022,4,40,1,10,DECK
5/10/2022,8,80,1,10,E&I
5/10/2022,5,50,1,10,MECH
5/10/2022,14,140,2,20,PROD
5/10/2022,2,20,0,0,RES
5/11/2022,4,40,1,10,DECK
5/11/2022,8,80,1,10,E&I
5/11/2022,5,50,1,10,MECH
5/11/2022,14,140,2,20,PROD
5/11/2022,2,20,0,0,RES
5/12/2022,5,50,1,10,DECK
5/12/2022,7,70,1,10,E&I
